image_index,edsr_mse,edsr_psnr,edsr_ssim,bicubic_mse,bicubic_psnr,bicubic_ssim,psnr_improvement,ssim_improvement,mse_reduction
80,0.0006681649247184396,31.751163263648337,0.8519990789709718,0.0007253763033077121,31.39436636115383,0.8298271448630263,0.35679690249450857,0.02217193410794549,5.72113785892725e-05
81,0.00041821046033874154,33.78605108747949,0.8849844217077159,0.00048192107351496816,33.17024082391135,0.8631346936796177,0.6158102635681431,0.021849728028098148,6.371061317622662e-05
82,0.0004238120454829186,33.72826704037632,0.843048744898783,0.0004744920879602432,33.23771024930799,0.8145295593888693,0.49055679106833594,0.028519185509913725,5.0680042477324605e-05
83,0.00020873377798125148,36.804072662969666,0.9171636131494731,0.00022690383775625378,36.441581585784014,0.9056246235943656,0.362491077185652,0.01153898955510757,1.81700597750023e-05
84,0.00031025431235320866,35.082821733483726,0.880875756630203,0.00034349135239608586,34.640841920947835,0.8644050852359553,0.4419798125358909,0.016470671394247738,3.32370400428772e-05
85,0.0006214056047610939,32.06624833949023,0.8589726156417403,0.0006998013705015182,31.55025211323441,0.834782120253322,0.5159962262558189,0.02419049538841833,7.83957657404244e-05
86,0.0005869643646292388,32.31388264535459,0.8627235759541823,0.0006564977229572833,31.827667759093107,0.837079648719309,0.48621488626148235,0.0256439272348733,6.953335832804441e-05
87,0.00029984820866957307,35.23098541347608,0.8842509512724972,0.0003420978900976479,34.65849604335179,0.8648694175017962,0.5724893701242877,0.019381533770700954,4.224968142807484e-05
88,0.0006257511558942497,32.03598339485571,0.8688813425804264,0.0007981366943567991,30.97922722031608,0.8389935658471708,1.0567561745396326,0.0298877767332556,0.00017238553846254945
89,0.00024589785607531667,36.09245257754648,0.8852341474023631,0.0002837518695741892,35.470612683254146,0.8651164979317417,0.6218398942923358,0.020117649470621335,3.785401349887252e-05
90,0.0002655624703038484,35.758333001307804,0.8969812932296851,0.0003073867119383067,35.12314910605314,0.8779829408336723,0.6351838952546629,0.018998352396012774,4.1824241634458303e-05
91,0.0005471509066410363,32.61892876805821,0.881548080719704,0.0006437409901991487,31.912888362951023,0.8519547431118029,0.7060404051071885,0.02959333760790117,9.659008355811238e-05
92,0.0003079630550928414,35.11501380680385,0.8990542704937761,0.000348285015206784,34.580652104484585,0.880739710823899,0.5343617023192664,0.01831455966987705,4.032196011394262e-05
93,0.0009250412113033235,30.338389186740073,0.8445832895992231,0.0010399079183116555,29.830051148739322,0.811975979320875,0.5083380380007512,0.03260731027834818,0.00011486670700833201
94,0.0004934640019200742,33.067445235165266,0.8709819405133831,0.000590717070735991,32.28620478576247,0.8392208638128316,0.7812404494027945,0.031761076700551505,9.725306881591678e-05
95,0.0005996728432364762,32.22085618161708,0.844556771580537,0.0006808286416344345,31.669621822975298,0.8137456856106599,0.551234358641782,0.03081108596987714,8.115579839795828e-05
96,0.00031537897302769125,35.01167265358604,0.8938001539576694,0.0003489821683615446,34.57196763241479,0.875904154736029,0.43970502117124965,0.017895999221640424,3.3603195333853364e-05
97,0.00039440783439204097,34.04054466957399,0.9057864802471232,0.0004532910534180701,33.43622852504311,0.8914732340216263,0.6043161445308769,0.0143132462254969,5.888321902602911e-05
98,0.00023566745221614838,36.27700393288096,0.913520691477561,0.00028114821179769933,35.51064674412666,0.894285204752632,0.7663571887542986,0.01923548672492903,4.5480759581550956e-05
99,0.0002439787203911692,36.12648050791202,0.899149033140358,0.0002732981229200959,35.63363351140285,0.883871054364816,0.4928469965091722,0.015277978775542045,2.931940252892673e-05
100,0.00033671659184619784,34.72735483048466,0.8906207867334648,0.00035686002229340374,34.47502101721681,0.8779294255778526,0.2523338132678461,0.012691361155612202,2.01434304472059e-05
101,0.0004600828106049448,33.37163992335888,0.8627377255121027,0.0005294156726449728,32.76203206135391,0.8352246734400174,0.6096078620049639,0.02751305207208532,6.933286204002798e-05
102,0.00024273066082969308,36.14875361747555,0.9148231595416735,0.00026692551909945905,35.736099040158564,0.9016776331766712,0.4126545773169852,0.013145526365002325,2.4194858269765973e-05
103,0.00032578158425167203,34.87073469088055,0.8970962349580823,0.00037938141031190753,34.20923953354456,0.8765487088307096,0.6614951573359917,0.02054752612737276,5.35998260602355e-05
104,0.00019970427092630416,36.996126470977885,0.9138855386792701,0.00022710025950800627,36.437823695106445,0.8992772453515376,0.5583027758714394,0.014608293327732502,2.7395988581702113e-05
105,0.000584907247684896,32.32912997186763,0.8477016782707294,0.000654200732242316,31.84288974107981,0.8225030594560778,0.4862402307878213,0.025198618814651574,6.929348455742002e-05
106,0.0014128568582236767,28.499018359098272,0.8077588756454115,0.0015843091532588005,28.001600686721652,0.7703180087957834,0.4974176723766206,0.03744086684962811,0.00017145229503512383
107,0.00024472319637425244,36.11324863586984,0.9124850530683062,0.00028741711867041886,35.4148736869068,0.8935684548382027,0.6983749489630355,0.0189165982301035,4.269392229616642e-05
